Generation	Size	Frequency	Count
0.000000	1	1.000000	1
0.000000	2	2.000000	0
0.000000	3	3.000000	0
0.000000	4	4.000000	0
0.000000	5	5.000000	0
0.000000	6	6.000000	0
0.000000	7	7.000000	0
0.000000	8	8.000000	0
0.000000	9	9.000000	0
0.000000	10	10.000000	0
8.017926	1	0.000200	1
8.017926	2	0.000400	0
8.017926	3	0.000600	0
8.017926	4	0.000800	0
8.017926	5	0.001000	0
8.017926	6	0.001200	0
8.017926	7	0.001400	0
8.017926	8	0.001600	0
8.017926	9	0.001800	0
8.017926	10	0.002000	0
8.017926	4887	0.977400	1
8.017926	112	0.022400	1
10.178174	1	0.000122	0
10.178174	2	0.000244	0
10.178174	3	0.000366	0
10.178174	4	0.000488	0
10.178174	5	0.000610	1
10.178174	6	0.000732	0
10.178174	7	0.000854	0
10.178174	8	0.000976	0
10.178174	9	0.001098	0
10.178174	10	0.001221	0
10.178174	7970	0.972782	1
10.178174	218	0.026608	1
20.178930	1	0.000122	0
20.178930	2	0.000244	0
20.178930	3	0.000366	0
20.178930	4	0.000488	0
20.178930	5	0.000610	0
20.178930	6	0.000732	0
20.178930	7	0.000854	0
20.178930	8	0.000976	0
20.178930	9	0.001098	0
20.178930	10	0.001221	0
20.178930	7971	0.972904	1
20.178930	222	0.027096	1
30.180630	1	0.000122	0
30.180630	2	0.000244	0
30.180630	3	0.000366	0
30.180630	4	0.000488	0
30.180630	5	0.000610	0
30.180630	6	0.000732	0
30.180630	7	0.000854	0
30.180630	8	0.000976	0
30.180630	9	0.001098	0
30.180630	10	0.001221	0
30.180630	7846	0.957647	1
30.180630	347	0.042353	1
40.181171	1	0.000122	0
40.181171	2	0.000244	0
40.181171	3	0.000366	1
40.181171	4	0.000488	0
40.181171	5	0.000610	0
40.181171	6	0.000732	0
40.181171	7	0.000854	0
40.181171	8	0.000976	0
40.181171	9	0.001098	0
40.181171	10	0.001221	0
40.181171	7656	0.934456	1
40.181171	534	0.065178	1
50.182476	1	0.000122	1
50.182476	2	0.000244	0
50.182476	3	0.000366	0
50.182476	4	0.000488	0
50.182476	5	0.000610	0
50.182476	6	0.000732	0
50.182476	7	0.000854	0
50.182476	8	0.000976	0
50.182476	9	0.001098	0
50.182476	10	0.001221	0
50.182476	7323	0.893812	1
50.182476	869	0.106066	1
57.872463	1	0.000100	0
57.872463	2	0.000200	0
57.872463	3	0.000300	0
57.872463	4	0.000400	0
57.872463	5	0.000500	0
57.872463	6	0.000600	0
57.872463	7	0.000700	0
57.872463	8	0.000800	0
57.872463	9	0.000900	0
57.872463	10	0.001000	0
57.872463	8542	0.854200	1
57.872463	1458	0.145800	1
58.459087	1	0.000067	0
58.459087	2	0.000133	0
58.459087	3	0.000200	0
58.459087	4	0.000267	0
58.459087	5	0.000333	0
58.459087	6	0.000400	0
58.459087	7	0.000467	0
58.459087	8	0.000533	0
58.459087	9	0.000600	0
58.459087	10	0.000667	0
58.459087	12744	0.849600	1
58.459087	2256	0.150400	1
59.374733	1	0.000050	0
59.374733	2	0.000100	0
59.374733	3	0.000150	0
59.374733	4	0.000200	0
59.374733	5	0.000250	0
59.374733	6	0.000300	0
59.374733	7	0.000350	0
59.374733	8	0.000400	0
59.374733	9	0.000450	0
59.374733	10	0.000500	0
59.374733	16906	0.845300	1
59.374733	3094	0.154700	1
60.183132	1	0.000041	1
60.183132	2	0.000081	0
60.183132	3	0.000122	0
60.183132	4	0.000163	0
60.183132	5	0.000203	0
60.183132	6	0.000244	0
60.183132	7	0.000285	0
60.183132	8	0.000326	0
60.183132	9	0.000366	0
60.183132	10	0.000407	0
60.183132	20681	0.841478	1
60.183132	3895	0.158482	1
70.183586	1	0.000041	0
70.183586	2	0.000081	1
70.183586	3	0.000122	0
70.183586	4	0.000163	0
70.183586	5	0.000203	0
70.183586	6	0.000244	0
70.183586	7	0.000285	0
70.183586	8	0.000326	0
70.183586	9	0.000366	0
70.183586	10	0.000407	0
70.183586	18097	0.736339	1
70.183586	6478	0.263580	1
80.183929	1	0.000041	0
80.183929	2	0.000081	1
80.183929	3	0.000122	0
80.183929	4	0.000163	0
80.183929	5	0.000203	0
80.183929	6	0.000244	0
80.183929	7	0.000285	0
80.183929	8	0.000326	0
80.183929	9	0.000366	0
80.183929	10	0.000407	0
80.183929	14807	0.602474	1
80.183929	9768	0.397445	1
90.184410	1	0.000041	0
90.184410	2	0.000081	0
90.184410	3	0.000122	1
90.184410	4	0.000163	0
90.184410	5	0.000203	0
90.184410	6	0.000244	0
90.184410	7	0.000285	0
90.184410	8	0.000326	0
90.184410	9	0.000366	1
90.184410	10	0.000407	0
90.184410	11726	0.477113	1
90.184410	12809	0.521178	1
90.184410	19	0.000773	1
90.184410	11	0.000448	1
100.184654	1	0.000041	0
100.184654	2	0.000081	0
100.184654	3	0.000122	0
100.184654	4	0.000163	0
100.184654	5	0.000203	0
100.184654	6	0.000244	0
100.184654	7	0.000285	0
100.184654	8	0.000326	0
100.184654	9	0.000366	0
100.184654	10	0.000407	0
100.184654	7979	0.324653	1
100.184654	16517	0.672051	1
100.184654	57	0.002319	1
100.184654	24	0.000977	1
110.185150	1	0.000041	0
110.185150	2	0.000081	0
110.185150	3	0.000122	0
110.185150	4	0.000163	0
110.185150	5	0.000203	0
110.185150	6	0.000244	0
110.185150	7	0.000285	0
110.185150	8	0.000326	0
110.185150	9	0.000366	0
110.185150	10	0.000407	0
110.185150	4959	0.201774	1
110.185150	19496	0.793262	1
110.185150	74	0.003011	1
